Source	Dataset	Edges	Nodes	Zones	ODs
GlobalSouth	Hyderabad	129239	71500	851	851
GlobalSouth	Ibagué	49050	29283	462	462
GlobalSouth	Jaipur	69877	39218	623	623
GlobalSouth	Kanpur	64604	36471	709	709
GlobalSouth	Kolkata	139027	71899	1585	1585
GlobalSouth	León	98777	62449	1640	1640
GlobalSouth	Lucknow	76042	41996	707	707
GlobalSouth	Makassar	30924	16506	258	258
GlobalSouth	Medan	83069	43499	549	549
GlobalSouth	Medellín	43082	25905	398	398
GlobalSouth	Mérida	38134	23596	405	405
GlobalSouth	Montería	20045	11046	157	157
GlobalSouth	Mumbai	89404	52173	992	992
Github	Munich	1872	742	285	285
GlobalSouth	Palembang	26396	14286	238	238
Github	Philadelphia	40002	13389	1489	1489
GlobalSouth	Puebla City	193590	114449	2168	2168
GlobalSouth	Pune	120344	66568	1197	1197
GlobalSouth	Querétaro City	118127	69736	2104	2104
GlobalSouth	Santa Marta	20499	12700	153	153
GlobalSouth	Santiago de Cali	37051	24294	294	294
GlobalSouth	Semarang	250382	128952	2813	2813
Github	SiouxFalls	76	24	24	24
GlobalSouth	Surabaya	191320	100092	2452	2452
GlobalSouth	Surat	68421	39213	717	717
Github	Sydney	75378	33113	3264	3264
Github	Terrassa-Asymmetric	3264	1603	55	55
GlobalSouth	Valledupar	8780	5292	104	104
Github	Winnipeg	2836	1040	141	141
Github	Winnipeg-Asymmetric	2535	1896	141	141
